Distance ,Temperature,Red,Green,Blue,Intensity,Lightsetting,Light,Type,Volume
8,26.38,55,58,41,55.1595,Med,82,Water,250
8,26.44,55,58,41,55.1595,Med,82,Water,250
8,26.44,55,58,41,55.1595,Med,85,Water,250
8,26.44,55,58,41,55.1595,Med,85,Water,250
8,26.38,55,58,41,55.1595,Med,81,Water,250
8,26.38,55,58,41,55.1595,Med,84,Water,250
8,26.38,55,58,41,55.1595,Med,87,Water,250
8,26.38,55,58,41,55.1595,Med,83,Water,250
8,26.38,55,58,41,55.1595,Med,80,Water,250
8,26.38,55,58,41,55.1595,Med,87,Water,250
8,26.38,55,58,41,55.1595,Med,85,Water,250
8,26.38,55,58,41,55.1595,Med,81,Water,250
8,26.38,55,58,41,55.1595,Med,85,Water,250
8,26.38,55,58,41,55.1595,Med,88,Water,250
8,26.38,55,58,41,55.1595,Med,83,Water,250
8,26.38,55,58,41,55.1595,Med,82,Water,250
8,26.38,55,58,41,55.1595,Med,87,Water,250
8,26.38,55,58,41,55.1595,Med,61,Water,250
8,26.38,55,58,42,55.2735,Med,66,Water,250
8,26.38,55,58,41,55.1595,Med,86,Water,250
8,26.38,55,58,41,55.1595,Med,87,Water,250
8,26.38,55,58,41,55.1595,Med,82,Water,250
8,26.38,55,58,41,55.1595,Med,85,Water,250
8,26.38,55,58,41,55.1595,Med,90,Water,250
8,26.38,55,58,41,55.1595,Med,85,Water,250
8,26.38,55,58,41,55.1595,Med,84,Water,250
8,26.38,55,58,41,55.1595,Med,90,Water,250
8,26.38,55,58,41,55.1595,Med,87,Water,250
8,26.38,55,58,41,55.1595,Med,89,Water,250
8,26.38,55,58,41,55.1595,Med,86,Water,250
8,26.38,55,58,41,55.1595,Med,88,Water,250
8,26.38,55,58,41,55.1595,Med,84,Water,250
8,26.38,55,58,41,55.1595,Med,82,Water,250
8,26.38,55,58,41,55.1595,Med,88,Water,250
8,26.38,55,58,41,55.1595,Med,84,Water,250
8,26.38,55,58,41,55.1595,Med,80,Water,250
8,26.38,55,58,41,55.1595,Med,82,Water,250
8,26.38,55,58,41,55.1595,Med,81,Water,250
8,26.38,55,58,41,55.1595,Med,79,Water,250
8,26.38,55,58,41,55.1595,Med,79,Water,250
8,26.44,55,58,41,55.1595,Med,85,Water,250
8,26.44,55,58,41,55.1595,Med,79,Water,250
8,26.44,55,58,41,55.1595,Med,78,Water,250
8,26.38,55,58,41,55.1595,Med,83,Water,250
8,26.38,55,58,41,55.1595,Med,82,Water,250
8,26.38,55,58,41,55.1595,Med,79,Water,250
8,26.44,55,58,41,55.1595,Med,83,Water,250
8,26.44,55,57,41,54.5725,Med,88,Water,250
8,26.44,55,57,41,54.5725,Med,85,Water,250
8,26.44,55,57,41,54.5725,Med,83,Water,250
8,26.44,55,57,41,54.5725,Med,88,Water,250
8,26.44,55,57,41,54.5725,Med,86,Water,250
8,26.38,54,57,41,54.2736,Med,80,Water,250
8,26.38,54,57,41,54.2736,Med,86,Water,250
8,26.38,55,57,41,54.5725,Med,87,Water,250
8,26.38,55,57,41,54.5725,Med,80,Water,250
8,26.38,54,57,41,54.2736,Med,81,Water,250
8,26.38,54,57,41,54.2736,Med,86,Water,250
8,26.38,54,57,41,54.2736,Med,84,Water,250
8,26.38,54,57,41,54.2736,Med,82,Water,250
8,26.38,55,57,41,54.5725,Med,88,Water,250
8,26.38,54,57,41,54.2736,Med,86,Water,250
8,26.38,55,57,41,54.5725,Med,82,Water,250
8,26.38,54,57,41,54.2736,Med,85,Water,250
8,26.38,54,57,41,54.2736,Med,87,Water,250
8,26.38,55,57,41,54.5725,Med,83,Water,250
8,26.38,54,57,41,54.2736,Med,82,Water,250
8,26.44,55,57,41,54.5725,Med,72,Water,250
8,26.44,55,57,41,54.5725,Med,85,Water,250
8,26.44,55,57,41,54.5725,Med,82,Water,250
8,26.38,54,57,41,54.2736,Med,84,Water,250
8,26.38,55,57,41,54.5725,Med,87,Water,250
8,26.38,54,57,41,54.2736,Med,82,Water,250
8,26.38,54,57,41,54.2736,Med,83,Water,250
8,26.38,54,57,41,54.2736,Med,89,Water,250
8,26.38,55,57,41,54.5725,Med,85,Water,250
8,26.38,55,57,41,54.5725,Med,83,Water,250
8,26.38,55,57,41,54.5725,Med,89,Water,250
8,26.38,54,57,41,54.2736,Med,88,Water,250
8,26.38,55,57,41,54.5725,Med,83,Water,250
8,26.38,55,57,41,54.5725,Med,84,Water,250
8,26.38,55,57,41,54.5725,Med,89,Water,250
8,26.38,54,57,41,54.2736,Med,84,Water,250
8,26.38,54,57,41,54.2736,Med,82,Water,250
8,26.38,54,57,41,54.2736,Med,88,Water,250
8,26.38,54,57,41,54.2736,Med,85,Water,250
8,26.38,54,57,41,54.2736,Med,79,Water,250
8,26.38,54,57,41,54.2736,Med,82,Water,250
8,26.38,54,57,41,54.2736,Med,84,Water,250
8,26.38,54,57,41,54.2736,Med,79,Water,250
8,26.38,54,57,41,54.2736,Med,76,Water,250
8,26.38,54,57,41,54.2736,Med,82,Water,250
8,26.38,54,57,41,54.2736,Med,79,Water,250
8,26.38,54,57,41,54.2736,Med,76,Water,250
8,26.38,54,57,41,54.2736,Med,83,Water,250
8,26.38,54,57,41,54.2736,Med,85,Water,250
8,26.38,54,57,41,54.2736,Med,79,Water,250
8,26.38,54,57,41,54.2736,Med,83,Water,250
8,26.38,55,57,41,54.5725,Med,87,Water,250
8,26.38,55,57,41,54.5725,Med,83,Water,250
8,26.44,54,57,41,54.2736,Med,84,Water,250
8,26.44,54,57,41,54.2736,Med,89,Water,250
8,26.44,54,57,41,54.2736,Med,86,Water,250
8,26.38,55,57,41,54.5725,Med,82,Water,250
8,26.38,54,57,40,54.1596,Med,84,Water,250
8,26.38,54,57,40,54.1596,Med,86,Water,250
8,26.38,54,57,40,54.1596,Med,82,Water,250
8,26.38,54,57,41,54.2736,Med,82,Water,250
8,26.38,54,57,40,54.1596,Med,88,Water,250
8,26.38,54,57,41,54.2736,Med,84,Water,250
8,26.38,54,57,41,54.2736,Med,81,Water,250
8,26.38,54,57,41,54.2736,Med,87,Water,250
8,26.38,54,57,40,54.1596,Med,88,Water,250
8,26.38,54,57,40,54.1596,Med,82,Water,250
8,26.38,54,57,41,54.2736,Med,86,Water,250
8,26.38,54,57,41,54.2736,Med,88,Water,250
8,26.38,54,57,41,54.2736,Med,84,Water,250
8,26.38,54,57,41,54.2736,Med,82,Water,250
8,26.38,54,57,40,54.1596,Med,86,Water,250
8,26.38,54,57,40,54.1596,Med,70,Water,250
8,26.38,54,57,40,54.1596,Med,81,Water,250
8,26.38,54,57,41,54.2736,Med,84,Water,250
8,26.38,54,57,41,54.2736,Med,89,Water,250
8,26.38,54,57,41,54.2736,Med,82,Water,250
8,26.38,54,57,40,54.1596,Med,83,Water,250
8,26.38,54,57,40,54.1596,Med,89,Water,250
8,26.38,54,57,40,54.1596,Med,85,Water,250
8,26.38,54,57,40,54.1596,Med,84,Water,250
8,26.38,54,57,40,54.1596,Med,86,Water,250
8,26.38,54,57,40,54.1596,Med,96,Water,250
8,26.38,54,57,41,54.2736,Med,82,Water,250
8,26.38,54,57,40,54.1596,Med,86,Water,250
8,26.38,54,57,40,54.1596,Med,88,Water,250
8,26.44,54,57,40,54.1596,Med,83,Water,250
8,26.44,54,57,40,54.1596,Med,82,Water,250
8,26.44,54,57,40,54.1596,Med,86,Water,250
8,26.38,54,57,40,54.1596,Med,84,Water,250
8,26.38,54,57,40,54.1596,Med,80,Water,250
8,26.38,54,57,40,54.1596,Med,80,Water,250
8,26.38,54,56,40,53.5726,Med,82,Water,250
8,26.38,54,57,40,54.1596,Med,79,Water,250
8,26.38,54,56,40,53.5726,Med,77,Water,250
8,26.38,54,56,40,53.5726,Med,83,Water,250
8,26.38,54,57,40,54.1596,Med,80,Water,250
8,26.38,54,57,40,54.1596,Med,78,Water,250
8,26.38,54,57,40,54.1596,Med,84,Water,250
8,26.38,54,57,40,54.1596,Med,83,Water,250
8,26.38,54,56,40,53.5726,Med,80,Water,250
8,26.38,54,56,40,53.5726,Med,82,Water,250
8,26.38,54,56,40,53.5726,Med,90,Water,250
8,26.38,54,56,40,53.5726,Med,85,Water,250
8,26.38,54,56,40,53.5726,Med,83,Water,250
8,26.38,54,57,40,54.1596,Med,88,Water,250
8,26.38,54,56,40,53.5726,Med,86,Water,250
8,26.38,54,56,40,53.5726,Med,82,Water,250
8,26.38,54,56,40,53.5726,Med,85,Water,250
8,26.38,54,56,40,53.5726,Med,86,Water,250
8,26.38,54,56,40,53.5726,Med,81,Water,250
8,26.38,54,56,40,53.5726,Med,81,Water,250
8,26.38,54,56,40,53.5726,Med,88,Water,250
8,26.38,54,56,40,53.5726,Med,83,Water,250
8,26.38,54,56,40,53.5726,Med,82,Water,250
8,26.38,54,56,40,53.5726,Med,87,Water,250
8,26.38,54,56,40,53.5726,Med,87,Water,250
8,26.38,54,56,40,53.5726,Med,82,Water,250
8,26.38,54,56,40,53.5726,Med,84,Water,250
8,26.38,54,56,40,53.5726,Med,88,Water,250
8,26.38,54,56,40,53.5726,Med,86,Water,250
8,26.38,54,56,40,53.5726,Med,82,Water,250
8,26.38,54,56,40,53.5726,Med,86,Water,250
8,26.38,53,56,40,53.2737,Med,86,Water,250
8,26.38,54,56,40,53.5726,Med,81,Water,250
8,26.38,54,56,40,53.5726,Med,84,Water,250
8,26.38,54,56,40,53.5726,Med,87,Water,250
8,26.38,54,56,40,53.5726,Med,81,Water,250
8,26.38,54,56,40,53.5726,Med,82,Water,250
8,26.38,54,56,40,53.5726,Med,89,Water,250
8,26.38,54,56,40,53.5726,Med,86,Water,250
8,26.38,53,56,40,53.2737,Med,83,Water,250
8,26.38,54,56,40,53.5726,Med,86,Water,250
8,26.38,54,56,40,53.5726,Med,90,Water,250
8,26.38,54,56,40,53.5726,Med,83,Water,250
8,26.38,54,56,40,53.5726,Med,84,Water,250
8,26.38,53,56,40,53.2737,Med,88,Water,250
8,26.38,54,56,40,53.5726,Med,85,Water,250
8,26.38,53,56,40,53.2737,Med,81,Water,250
8,26.38,54,56,40,53.5726,Med,86,Water,250
8,26.38,53,56,40,53.2737,Med,86,Water,250
8,26.38,54,56,40,53.5726,Med,80,Water,250
8,26.38,54,56,40,53.5726,Med,79,Water,250
8,26.38,53,56,40,53.2737,Med,82,Water,250
8,26.38,53,56,40,53.2737,Med,79,Water,250
8,26.38,53,56,40,53.2737,Med,76,Water,250
8,26.38,54,56,40,53.5726,Med,81,Water,250
8,26.38,54,56,40,53.5726,Med,83,Water,250
8,26.38,54,56,40,53.5726,Med,78,Water,250
8,26.38,53,56,40,53.2737,Med,81,Water,250
8,26.38,53,56,40,53.2737,Med,86,Water,250
8,26.38,53,56,40,53.2737,Med,82,Water,250
8,26.38,54,56,40,53.5726,Med,80,Water,250
8,26.38,53,56,40,53.2737,Med,85,Water,250
8,26.38,54,56,40,53.5726,Med,86,Water,250
8,26.38,53,56,40,53.2737,Med,82,Water,250
8,26.38,53,56,40,53.2737,Med,84,Water,250
8,26.38,53,56,40,53.2737,Med,87,Water,250
8,26.38,53,56,40,53.2737,Med,83,Water,250
8,26.38,53,56,40,53.2737,Med,80,Water,250
8,26.38,53,56,40,53.2737,Med,85,Water,250
8,26.38,53,56,40,53.2737,Med,87,Water,250
8,26.38,53,56,40,53.2737,Med,81,Water,250
8,26.38,53,56,40,53.2737,Med,83,Water,250
8,26.38,53,56,40,53.2737,Med,89,Water,250
8,26.38,54,56,40,53.5726,Med,84,Water,250
8,26.38,53,56,40,53.2737,Med,81,Water,250
8,26.38,53,56,39,53.1597,Med,87,Water,250
8,26.38,53,56,39,53.1597,Med,86,Water,250
8,26.38,53,56,40,53.2737,Med,82,Water,250
8,26.38,53,56,40,53.2737,Med,86,Water,250
8,26.38,53,56,40,53.2737,Med,87,Water,250
8,26.38,53,56,40,53.2737,Med,82,Water,250
8,26.38,53,56,40,53.2737,Med,61,Water,250
8,26.38,53,56,40,53.2737,Med,87,Water,250
8,26.38,53,56,39,53.1597,Med,86,Water,250
8,26.38,53,56,40,53.2737,Med,81,Water,250
8,26.38,53,56,40,53.2737,Med,85,Water,250
8,26.38,53,56,39,53.1597,Med,87,Water,250
8,26.38,53,55,39,52.5727,Med,84,Water,250
8,26.38,53,56,39,53.1597,Med,84,Water,250
8,26.38,53,56,39,53.1597,Med,89,Water,250
8,26.38,53,56,40,53.2737,Med,88,Water,250
8,26.38,53,56,39,53.1597,Med,93,Water,250
8,26.38,53,56,40,53.2737,Med,84,Water,250
8,26.38,53,56,39,53.1597,Med,89,Water,250
8,26.38,53,56,39,53.1597,Med,84,Water,250
8,26.38,53,56,40,53.2737,Med,83,Water,250
8,26.38,53,56,40,53.2737,Med,89,Water,250
8,26.38,53,56,39,53.1597,Med,85,Water,250
8,26.38,53,56,40,53.2737,Med,80,Water,250
8,26.38,53,56,40,53.2737,Med,82,Water,250
8,26.38,53,56,39,53.1597,Med,86,Water,250
8,26.38,53,56,40,53.2737,Med,82,Water,250
8,26.38,53,56,39,53.1597,Med,76,Water,250
8,26.38,53,56,40,53.2737,Med,82,Water,250
8,26.38,53,56,39,53.1597,Med,79,Water,250
8,26.38,53,56,39,53.1597,Med,77,Water,250
8,26.38,53,56,40,53.2737,Med,81,Water,250
8,26.38,53,56,40,53.2737,Med,83,Water,250
8,26.38,53,56,39,53.1597,Med,80,Water,250
8,26.38,53,56,39,53.1597,Med,80,Water,250
8,26.38,53,56,40,53.2737,Med,86,Water,250
8,26.38,53,55,39,52.5727,Med,84,Water,250
8,26.38,53,56,39,53.1597,Med,80,Water,250
8,26.38,53,56,39,53.1597,Med,89,Water,250
8,26.38,54,56,40,53.5726,Med,87,Water,250
8,26.38,53,56,39,53.1597,Med,82,Water,250
8,26.38,53,55,39,52.5727,Med,81,Water,250
8,26.38,53,55,39,52.5727,Med,88,Water,250
8,26.38,53,55,39,52.5727,Med,84,Water,250
8,26.38,53,55,39,52.5727,Med,81,Water,250
8,26.38,53,56,39,53.1597,Med,88,Water,250
8,26.38,53,55,39,52.5727,Med,85,Water,250
8,26.38,53,55,39,52.5727,Med,81,Water,250
8,26.38,53,55,39,52.5727,Med,83,Water,250
8,26.38,53,55,39,52.5727,Med,87,Water,250
8,26.38,53,55,39,52.5727,Med,83,Water,250
